matrix_symbol,current_symbol,entrez_id,resolution,mapped_after_normalisation,normalisation_source,org_mm_eg_db_version
4930402H24Rik,Dnaaf9,228602,accepted,TRUE,org.Mm.eg.db,3.22.0
4930404N11Rik,Tektip1,432479,accepted,TRUE,org.Mm.eg.db,3.22.0
4930432K21Rik,Brme1,74666,accepted,TRUE,org.Mm.eg.db,3.22.0
4930451G09Rik,Dnaaf8,74684,accepted,TRUE,org.Mm.eg.db,3.22.0
4930452B06Rik,Cfap20dc,74430,accepted,TRUE,org.Mm.eg.db,3.22.0
4930517E14Rik,Gm8154,666539,accepted,FALSE,org.Mm.eg.db,3.22.0
4931406G06Rik,Epcip,74387,accepted,FALSE,org.Mm.eg.db,3.22.0
4931406P16Rik,Garre1,233103,accepted,TRUE,org.Mm.eg.db,3.22.0
4932438A13Rik,Bltp1,229227,accepted,TRUE,org.Mm.eg.db,3.22.0
4933402N22Rik,Speer1m,545732,accepted,FALSE,org.Mm.eg.db,3.22.0
4933423P22Rik,Ptprjos1,71158,accepted,FALSE,org.Mm.eg.db,3.22.0
5330417C22Rik,Elapor1,229722,accepted,TRUE,org.Mm.eg.db,3.22.0
5430403G16Rik,Zfp1007,77200,accepted,FALSE,org.Mm.eg.db,3.22.0
5430427O19Rik,Tasl,71398,accepted,TRUE,org.Mm.eg.db,3.22.0
5830405F06Rik,Tcrb-J,21580,accepted,FALSE,org.Mm.eg.db,3.22.0
5830411N06Rik,Scart2,244234,accepted,FALSE,org.Mm.eg.db,3.22.0
6720489N17Rik,Zfp1008,211378,accepted,FALSE,org.Mm.eg.db,3.22.0
9130019O22Rik,Zfp747l1,78921,accepted,FALSE,org.Mm.eg.db,3.22.0
9130023H24Rik,Zfp696,100043133,accepted,FALSE,org.Mm.eg.db,3.22.0
9130208D14Rik,Gvin5,77700,accepted,FALSE,org.Mm.eg.db,3.22.0
9330182L06Rik,Elapor2,231014,accepted,TRUE,org.Mm.eg.db,3.22.0
A530072M11Rik,Parail,100415915,accepted,FALSE,org.Mm.eg.db,3.22.0
AI662270,Slfnlnc,100043636,accepted,FALSE,org.Mm.eg.db,3.22.0
Adprhl2,Adprs,100206,accepted,TRUE,org.Mm.eg.db,3.22.0
Apopt1,Coa8,68020,accepted,TRUE,org.Mm.eg.db,3.22.0
Asna1,Get3,56495,accepted,TRUE,org.Mm.eg.db,3.22.0
B230118H07Rik,Iftap,68170,accepted,TRUE,org.Mm.eg.db,3.22.0
B230334C09Rik,Lrrc7,242274,accepted,TRUE,org.Mm.eg.db,3.22.0
B430306N03Rik,Trem6l,320148,accepted,FALSE,org.Mm.eg.db,3.22.0
Btbd11,Abtb3,74007,accepted,TRUE,org.Mm.eg.db,3.22.0
C130026I21Rik,Sp140l2,620078,accepted,FALSE,org.Mm.eg.db,3.22.0
C330007P06Rik,Steep1,77644,accepted,TRUE,org.Mm.eg.db,3.22.0
C430049B03Rik,Mir503hg,72575,accepted,FALSE,org.Mm.eg.db,3.22.0
C530008M17Rik,Cracd,320827,accepted,TRUE,org.Mm.eg.db,3.22.0
Casc4,Golm2,319996,accepted,TRUE,org.Mm.eg.db,3.22.0
Ccdc114,Odad1,211535,accepted,TRUE,org.Mm.eg.db,3.22.0
Ccdc155,Kash5,384619,accepted,TRUE,org.Mm.eg.db,3.22.0
Ccpg1os,Pierce2,546143,accepted,TRUE,org.Mm.eg.db,3.22.0
Cd163l1,Scart1,244233,accepted,TRUE,org.Mm.eg.db,3.22.0
