"rank","ID","Description","term_size","k_obs","p_adjust_hypergeometric","p_matched","frac_matched_reaching_q","k_null_matched_mean","simplify_kept"
117,"GO:0046651","lymphocyte proliferation",253,13,0.0054961604,0.219390305,0.432,10.231,TRUE
118,"GO:0001822","kidney development",220,12,0.00555629974,0.0624687656,0.194792188,7.556,TRUE
119,"GO:0034103","regulation of tissue remodeling",54,6,0.00561727053,0.00949525237,0.0476457399,2.031,TRUE
120,"GO:0030217","T cell differentiation",289,14,0.00562320066,0.242378811,0.4705,11.4785,FALSE
121,"GO:0050678","regulation of epithelial cell proliferation",255,13,0.00574207845,0.172413793,0.3745,9.882,FALSE
122,"GO:0042063","gliogenesis",256,13,0.0058922482,0.138930535,0.323,9.493,TRUE
123,"GO:0042742","defense response to bacterium",190,11,0.0058922482,0.0284857571,0.117410938,6.0045,FALSE
124,"GO:0035051","cardiocyte differentiation",103,8,0.00604327239,0.0554722639,0.123481781,4.23,FALSE
125,"GO:2001234","negative regulation of apoptotic signaling pathway",191,11,0.00606885779,0.0754622689,0.201201201,6.847,FALSE
126,"GO:0032943","mononuclear cell proliferation",258,13,0.00613457759,0.236381809,0.4435,10.3915,FALSE
127,"GO:0050863","regulation of T cell activation",329,15,0.00613457759,0.354822589,0.5905,13.3995,FALSE
128,"GO:0050819","negative regulation of coagulation",36,5,0.0062460624,0.00299850075,0.027027027,1.0495,FALSE
129,"GO:0043408","regulation of MAPK cascade",485,19,0.00633516893,0.330334833,0.569,17.069,FALSE
130,"GO:0061564","axon development",368,16,0.00633516893,0.0814592704,0.214,11.162,TRUE
131,"GO:0045927","positive regulation of growth",194,11,0.00662852932,0.0949525237,0.226113057,7.2055,FALSE
132,"GO:0033002","muscle cell proliferation",163,10,0.00663427101,0.138930535,0.299,6.9525,TRUE
133,"GO:0072001","renal system development",227,12,0.00663427101,0.0744627686,0.202804206,7.7715,FALSE
134,"GO:0003073","regulation of systemic arterial blood pressure",57,6,0.00666182544,0.0099950025,0.0387096774,1.845,FALSE
135,"GO:0140353","lipid export from cell",37,5,0.00666182544,0.0099950025,0.0505390836,1.3315,TRUE
136,"GO:0150077","regulation of neuroinflammatory response",37,5,0.00666182544,0.00899550225,0.0488917862,1.425,FALSE
137,"GO:2000403","positive regulation of lymphocyte migration",37,5,0.00666182544,0.00849575212,0.0466977985,1.356,FALSE
138,"GO:0048545","response to steroid hormone",264,13,0.00700912918,0.11844078,0.2555,9.1405,TRUE
139,"GO:0097529","myeloid leukocyte migration",165,10,0.00700912918,0.0794602699,0.17017017,6.161,FALSE
140,"GO:0032102","negative regulation of response to external stimulus",301,14,0.00731649506,0.205897051,0.381,10.9845,TRUE
141,"GO:0051046","regulation of secretion",455,18,0.00759830036,0.292853573,0.499,15.6905,FALSE
